鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄,26.13,住,Unnamed: 5,Unnamed: 6,1040224,土地4建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,182.23,3,1,2,有,無,37090000,229487,坡道平面,32.81,2800000,Unnamed: 26,RPOOMLOLJIMFFDA57CB,東騰藍,Unnamed: 29,來源資料夾
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號A1棟14樓,32.11,住,,,1040503.0,土地1建物1車位2,十四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,297.4,4.0,2.0,3.0,有,無,48000000.0,194361.0,坡道平面,78.22,5400000.0,,RPPOMLTJLHMFFEA18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號A2棟14樓,30.95,住,,,1040330.0,土地1建物1車位2,十四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,289.51,4.0,2.0,2.0,有,無,45170000.0,190118.0,坡道平面,78.22,5000000.0,,RPQOMLTJLHMFFEA28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟4樓,25.06,住,,,1040419.0,土地1建物1車位2,四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,249.3,3.0,2.0,2.0,有,無,34600000.0,174772.0,坡道平面,78.22,4700000.0,,RPROMLTJLHMFFEA38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟6樓,25.06,住,,,1040419.0,土地1建物1車位1,六層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.19,3.0,2.0,2.0,有,無,33300000.0,180910.0,坡道平面,39.11,2350000.0,,RPTOMLTJLHMFFEA58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟8樓,25.06,住,,,1040917.0,土地1建物1車位1,八層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.19,3.0,2.0,2.0,有,無,32500000.0,176233.0,坡道平面,39.11,2350000.0,,RPUOMLTJLHMFFEA68CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B2棟11樓,30.54,住,,,1040227.0,土地1建物1車位1,十一層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,247.58,4.0,2.0,2.0,有,無,47000000.0,213460.0,坡道平面,39.11,2500000.0,,RPVOMLTJLHMFFEA78CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟2樓,23.6,住,,,1040215.0,土地1建物1車位1,二層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.23,3.0,2.0,2.0,有,無,29300000.0,170060.0,坡道平面,39.11,1900000.0,,RPWOMLTJLHMFFEA88CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟10樓,25.06,住,,,1050422.0,土地1建物1車位1,十層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.19,3.0,2.0,2.0,有,無,31000000.0,167758.0,坡道平面,39.11,2300000.0,,RPXOMLTJLHMFFEA98CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號B3棟9樓,23.6,住,,,1040701.0,土地1建物1車位1,九層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.23,3.0,2.0,2.0,有,無,30500000.0,177197.0,坡道平面,39.11,1950000.0,,RPOPMLTJLHMFFEA18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區奇岩段四小段11號A1棟4樓,32.11,住,,,1041017.0,土地1建物1車位1,四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,258.29,4.0,2.0,3.0,有,無,40000000.0,173602.0,坡道平面,39.11,1950000.0,,RPQPMLTJLHMFFEA38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
