鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新市區,房地(土地+建物)+車位,臺南市新市區大社段2094地號,25.48,Unnamed: 4,鄉村區,乙種建築用地,1120511,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,126.31,3,2,2.1,有,無,9900000,80257,坡道平面,20.4,1400000,Unnamed: 26,RPUNMLLKNHIGFHD38CB,高第璞璞2,B棟5F-B3號,Unnamed: 30,來源資料夾,安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,Unnamed: 5,Unnamed: 6,1120811,土地5建物1車位0,全,4,透天厝,見其他登記事項,231.85,5,26500000,114298,Unnamed: 23,0.0,0,內含停車位1個,RPSNMLLKQHIGFBD87CB,邰欣地堡100期,A棟3號,東區,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,1121111,十二層,15,住宅大樓(11層含以上有電梯),112.24,2.2,11300000,116874,26.25,1250000,RPTNMLNKJIIGFCD67CB,松丹達麗,D棟3號
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,8.99,商,,,1120215.0,土地2建物1車位1,五層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.48,2.0,2.0,1.0,有,無,9270000.0,107850.0,坡道機械,10.19,1150000.0,,RPUNMLNLKHIGFBD77CB,南科?揚,A棟A05-05F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.71,商,,,1120213.0,土地2建物1車位1,九層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.59,3.0,2.0,2.0,有,無,13370000.0,110944.0,坡道平面,21.05,1550000.0,,RPVNMLNLKHIGFBD87CB,南科?揚,B棟B12-09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.25,商,,,1120211.0,土地2建物1車位1,二十層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.36,3.0,2.0,2.0,有,無,13550000.0,115824.0,坡道平面,21.05,1700000.0,,RPWNMLNLKHIGFBD97CB,南科?揚,E棟E03-20F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,8.99,商,,,1120218.0,土地2建物1車位1,四層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.48,2.0,2.0,1.0,有,無,8530000.0,102670.0,坡道機械,10.19,800000.0,,RPXNMLNLKHIGFBD08CB,南科?揚,E棟E05-04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,32.1,商,,,1120214.0,土地2建物1車位2,一層,26.0,店面(店鋪),商業用,鋼筋混凝土造,,158.37,0.0,0.0,0.0,無,無,22720000.0,166165.0,坡道平面,42.1,3400000.0,,RPOOMLNLKHIGFBD27CB,南科?揚,B棟S12-01F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.61,商,,,1120218.0,土地2建物1車位1,十六層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.88,2.0,2.0,1.0,有,無,10680000.0,114368.0,坡道平面,21.05,1550000.0,,RPPOMLNLKHIGFBD37CB,南科?揚,A棟A07-16F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.46,商,,,1120218.0,土地2建物1車位1,十六層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.02,2.0,2.0,1.0,有,無,10630000.0,114980.0,坡道平面,21.05,1550000.0,,RPQOMLNLKHIGFBD47CB,南科?揚,D棟D10-16F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.46,商,,,1120218.0,土地2建物1車位1,十八層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.02,2.0,2.0,1.0,有,無,10710000.0,115993.0,坡道平面,21.05,1550000.0,,RPROMLNLKHIGFBD57CB,南科?揚,D棟D10-18F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區樂活一街6號旁,13.62,住,,,1120216.0,土地1建物1車位1,三十二層,35.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.49,3.0,2.0,2.0,有,無,16600000.0,116686.0,坡道平面,32.94,1600000.0,,RPSOMLNLKHIGFBD67CB,湖映白,B棟B8-32F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化區,房地(土地+建物)+車位,臺南市善化區成功路169巷,20.62,住,,,1120211.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,116.59,2.0,2.0,2.0,有,無,12060000.0,110181.0,坡道平面,19.84,1400000.0,,RPPNMLNLKHIGFHD87CB,宇成植感,A8棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
