鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.41,商,Unnamed: 5,Unnamed: 6,1120512,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,136.12,3,1,2,有,無,13000000,101345,坡道平面,27.58,2000000,Unnamed: 26,RPPNMLMKNHIGFDE67CB,鑫天地二期,A棟5號,Unnamed: 30,來源資料夾,小港區,房地(土地+建物),高雄市小港區達德街115號3樓,26.2,住,1120812,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),84.39,2.1,2.2,7930000,93968,Unnamed: 23,0.0,0,RPPNMLMKQHIGFCE87CB,綠舟,A2棟115號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,16.21,住,,,1111121.0,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.56,0.0,2.0,2.0,有,無,10930000.0,98678.0,坡道平面,15.53,1750000.0,,RPPNMLNLJIHGFGE77CB,藏美東京都,C棟3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,11.78,住,,,1111114.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.93,0.0,2.0,1.0,有,無,8310000.0,96454.0,坡道平面,14.4,1700000.0,,RPQNMLNLJIHGFGE87CB,藏美東京都,A棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,12.07,住,,,1111114.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.33,0.0,2.0,1.0,有,無,8600000.0,98138.0,坡道平面,15.53,1750000.0,,RPRNMLNLJIHGFGE97CB,藏美東京都,A棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,11.78,住,,,1111114.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.93,0.0,2.0,1.0,有,無,8210000.0,95725.0,坡道平面,14.4,1650000.0,,RPSNMLNLJIHGFGE08CB,藏美東京都,A棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,22.28,住,,,1111111.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.97,2.0,2.0,2.0,有,無,13450000.0,91743.0,坡道平面,15.53,1850000.0,,RPUNMLNLJIHGFGE28CB,藏美東京都,A棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,17.07,住,,,1111116.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.19,0.0,2.0,2.0,有,無,10890000.0,93705.0,坡道平面,16.65,1750000.0,,RPVNMLNLJIHGFGE38CB,藏美東京都,C棟7號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,12.07,住,,,1111118.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.33,0.0,2.0,1.0,有,無,8500000.0,96705.0,坡道平面,15.53,1750000.0,,RPWNMLNLJIHGFGE48CB,藏美東京都,A棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,12.07,住,,,1111111.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.33,0.0,2.0,1.0,有,無,8230000.0,94986.0,坡道平面,15.53,1600000.0,,RPXNMLNLJIHGFGE58CB,藏美東京都,A棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,11.78,住,,,1111121.0,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.93,0.0,2.0,1.0,有,無,8550000.0,99227.0,坡道平面,14.4,1750000.0,,RPOOMLNLJIHGFGE77CB,藏美東京都,A棟9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,13.07,住,,,1111111.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.97,0.0,2.0,1.0,有,無,8600000.0,90138.0,坡道平面,15.53,1800000.0,,RPPOMLNLJIHGFGE87CB,藏美東京都,C棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
