鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,91.67,Unnamed: 4,鄉村區,乙種建築用地,1120517,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,149.35,4,2,4.1,有,無,8580000,57449,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMLNHIGFBQ78CB,上荷院8期,8C區棟13號,Unnamed: 30,來源資料夾,民雄鄉,嘉義縣民雄鄉正義二街,169.25,住,Unnamed: 5,Unnamed: 6,1120813,土地4建物1車位0,242.18,5,25800000,106532,RPPNMLOKQHIGFCQ66CB,中正-森學院,A棟10號,大林鎮,嘉義縣大林鎮林頭,118.37,1121111,173.42,3.1,10580000,61008,RPQNMLPKJIIGFCQ88CB,新社團三期,A棟2號
水上鄉,房地(土地+建物),嘉義縣水上鄉溪洲村外溪洲,98.1,,鄉村區,乙種建築用地,1120220.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.75,5.0,2.0,2.0,有,無,9200000.0,62267.0,,0.0,0.0,,RPQNMLMKLHIGFDQ78CB,水上墅界,A8棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉溪洲村外溪洲,124.39,,鄉村區,乙種建築用地,1120222.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,160.94,5.0,1.0,2.0,有,無,10700000.0,66484.0,,0.0,0.0,,RPRNMLMKLHIGFDQ88CB,水上墅界,B6棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太保市,房地(土地+建物),嘉義縣太保市民生路,111.98,住,,,1120218.0,土地5建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,183.32,4.0,3.0,5.0,有,無,12700000.0,69278.0,,0.0,0.0,,RPRNMLNKLHIGFDQ98CB,玉興大悅,C棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村100-2號對面大崙國小南邊約250公尺,111.12,,鄉村區,乙種建築用地,1120217.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,158.83,3.0,2.0,4.0,有,無,9280000.0,58427.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:家電禮費:30000元,RPPNMLNKLHIGFDQ88DB,沐粼,A棟19號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村100-2號對面大崙國小南邊約250公尺,85.85,,鄉村區,乙種建築用地,1120308.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,143.67,3.0,2.0,4.0,有,無,8150000.0,56727.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:家電禮費:40000元,RPQNMLNKLHIGFDQ98DB,沐粼,A棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉葉仔寮,182.0,,鄉村區,乙種建築用地,1120311.0,土地1建物1車位0,全,2.0,透天厝,住家用,鋼筋混凝土造,,142.5,3.0,2.0,3.0,有,無,9180000.0,64421.0,,0.0,0.0,,RPPNMLNKLHIGFCQ68CB,綠 域戶,A5棟A5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉港尾寮新段118-1地號至118-25地號,108.56,,鄉村區,乙種建築用地,1120309.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.89,4.0,2.0,4.0,有,無,7600000.0,55519.0,,0.0,0.0,,RPQNMLOKLHIGFBQ88DB,白居易NO.2,B棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉水西段,29.54,住,,,1120307.0,土地3建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.06,2.0,2.0,1.0,有,無,4600000.0,72946.0,,0.0,0.0,,RPPNMLPKLHIGFDQ98CB,東唐漾B,B棟2F2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉水西段,29.54,住,,,1120302.0,土地3建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.05,1.0,2.0,1.0,有,無,4580000.0,72641.0,,0.0,0.0,,RPTNMLPKLHIGFDQ76CB,東唐漾B,B棟4F2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉忠明路,110.16,住,,,1120223.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,206.75,4.0,2.0,4.0,有,無,16080000.0,77775.0,,0.0,0.0,,RPPNMLQKLHIGFDQ09CB,漢昇築幸福,A棟A13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉忠明路,99.59,住,,,1120309.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,195.75,4.0,2.0,4.0,有,無,14800000.0,75607.0,,0.0,0.0,,RPQNMLQKLHIGFDQ56CB,漢昇築幸福,A棟A7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中庄街,98.69,住,,,1120311.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,197.17,4.0,2.0,4.0,有,無,15300000.0,77598.0,,0.0,0.0,,RPRNMLQKLHIGFDQ66CB,漢昇築幸福,B棟B3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村大崙,99.2,,鄉村區,乙種建築用地,1120219.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,150.13,4.0,2.0,4.0,有,無,9500000.0,63278.0,,0.0,0.0,,RPSNMLQKLHIGFDQ76CB,鼎峰5 有春,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村大崙,113.68,,鄉村區,乙種建築用地,1120311.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.49,4.0,1.0,4.0,有,無,10200000.0,69157.0,,0.0,0.0,,RPTNMLQKLHIGFDQ86CB,鼎峰5 有春,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
