鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,東港鎮,房地(土地+建物),屏東縣東港鎮興東路,136.69,住,Unnamed: 5,Unnamed: 6,1120512,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,192.32,4,2,4.1,有,無,16610000,86366,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLRKNHIGFDT07CB,長居(六期),A棟1號,Unnamed: 30,來源資料夾,麟洛鄉,房地(土地+建物)+車位,屏東縣麟洛鄉麟義段1397地號,45.57,1120811,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),112.16,2.1,1,8660000,83120,一樓平面,18.2,850000,RPQNMLMKQHIGFAT66CB,新義城,G棟1號,長治鄉,屏東縣長治鄉復興路,31.23,Unnamed: 4,鄉村區,乙種建築用地,1121112,土地1建物1車位1,八層,8,139.99,10770000,77940,坡道平面,15.92,1100000,RPQNMLRKJIIGFAT56CB,幸福欣印象-豐收區,B1棟8號
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路,32.8,,一般農業區,甲種建築用地,1120312.0,土地1建物1車位1,三層,6.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,98.53,2.0,2.0,1.0,有,無,6600000.0,65614.0,一樓平面,16.23,1200000.0,,RPSNMLQKLHIGFAT76CB,陽光5,A棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公正四街,22.35,住,,,1120312.0,土地1建物1車位1,六層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.35,2.0,2.0,2.0,有,無,9200000.0,89004.0,坡道平面,29.59,1300000.0,,RPPNMLRKLHIGFAT56CB,閱山,2棟A5-6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
內埔鄉,房地(土地+建物),屏東縣內埔鄉東寧路,31.57,住,,,1120227.0,土地1建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.13,2.0,2.0,2.0,有,無,5880000.0,77236.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:含裝潢費450000元；,RPPNMLTKLHIGFCT96CB,萬吉蒔遇,A3-4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉東寧路,38.46,住,,,1120224.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.18,3.0,2.0,2.0,有,無,7500000.0,71367.0,一樓平面,13.7,900000.0,,RPQNMLTKLHIGFCT07CB,萬吉蒔遇,B1-5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
內埔鄉,房地(土地+建物),屏東縣內埔鄉康寧路,32.38,住,,,1120225.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.91,2.0,1.0,2.0,有,無,4720000.0,59815.0,,0.0,0.0,,RPRNMLTKLHIGFCT17CB,織心院,B棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口H11棟4樓,26.49,住,,,1120303.0,土地4建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,83.5,2.0,2.0,1.0,有,無,7520000.0,90060.0,,0.0,0.0,,RPPNMLLLLHIGFAT68CB,甲山林花園帝寶,H棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口I11棟3樓,26.49,住,,,1120227.0,土地4建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,83.5,2.0,2.0,1.0,有,無,7540000.0,90299.0,,0.0,0.0,,RPQNMLLLLHIGFAT78CB,甲山林花園帝寶,I棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口I21棟5樓,27.5,住,,,1120302.0,土地4建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,86.66,2.0,2.0,1.0,有,無,7670000.0,88507.0,,0.0,0.0,,RPRNMLLLLHIGFAT88CB,甲山林花園帝寶,I棟21號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口I11棟4樓,26.49,住,,,1120225.0,土地4建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,83.5,2.0,2.0,1.0,有,無,7520000.0,90060.0,,0.0,0.0,,RPSNMLLLLHIGFAT98CB,甲山林花園帝寶,I棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市瑞中街瑞華街口G9棟3樓,28.01,住,,,1120308.0,土地4建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,88.25,3.0,2.0,2.0,有,無,7970000.0,90312.0,,0.0,0.0,,RPTNMLLLLHIGFAT09CB,甲山林花園帝寶,G棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
