鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,Unnamed: 5,Unnamed: 6,1120512,土地4建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,30.07,1,1.1,1.2,有,無,11080000,368474,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCA17CB,松江ONE,D-13F號,Unnamed: 30,來源資料夾,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.53,1120813,土地3建物1車位1,十二層,15,134.11,3,2,2.1,29180000,269508,坡道平面,36.97,3000000,RPPNMLNKQHIGFDA67CB,中研首席,A2-12F號,中正區,臺北市中正區臨沂街33巷,24.77,1121111,土地1建物1車位1,六層,12,157.79,60080000,461488,35.62,3700000,RPPNMLLKJIIGFBA66CB,日健邸,6F-A3號
中正區,房地(土地+建物),臺北市中正區廈門街１４９號旁,6.12,商,,,1120214.0,土地11建物1車位0,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.64,2.0,1.0,1.0,有,無,15200000.0,246593.0,,0.0,0.0,,RPPNMLNJLHIGFAA76CB,華和淳萃,D-2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物),臺北市文山區光輝路134巷3弄1號,12.71,住,,,1120213.0,土地1建物1車位0,五層,11.0,住宅大樓(11層含以上有電梯),住家用,混凝土造,,65.35,2.0,2.0,1.0,有,無,15380000.0,235348.0,,0.0,0.0,,RPQNMLNJLHIGFAA86CB,文山萃,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物)+車位,臺北市大同區大有里歸綏街210號,13.41,商,,,1120224.0,土地13建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.71,4.0,2.0,2.0,有,無,50880000.0,285492.0,坡道平面,37.7,3200000.0,,RPPNMLNJLHIGFBA86CB,三豐雲迪,B棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物),臺北市大同區寧夏路88號,6.52,商,,,1120216.0,土地40建物1車位0,十八層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,88.14,2.0,2.0,2.0,有,無,24500000.0,277967.0,,0.0,0.0,,RPPNMLOJLHIGFBA96CB,首岳,B棟B5-18F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120219.0,土地40建物1車位1,五層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2.0,2.0,2.0,有,無,25530000.0,265827.0,坡道平面,27.27,2100000.0,,RPQNMLOJLHIGFBA07CB,首岳,B棟B6-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物),臺北市大同區寧夏路88號,6.52,商,,,1120220.0,土地40建物1車位0,十二層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,88.14,2.0,2.0,2.0,有,無,23750000.0,269458.0,,0.0,0.0,,RPSNMLOJLHIGFBA27CB,首岳,B棟B5-12F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120221.0,土地40建物1車位1,二十四層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2.0,2.0,2.0,有,無,28000000.0,286476.0,坡道平面,27.27,2750000.0,,RPTNMLOJLHIGFBA37CB,首岳,B棟B5-24F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120225.0,土地40建物1車位1,十一層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2.0,2.0,2.0,有,無,26300000.0,269458.0,坡道平面,27.27,2550000.0,,RPUNMLOJLHIGFBA47CB,首岳,B棟B6-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,1120225.0,土地40建物1車位1,十一層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2.0,2.0,2.0,有,無,27300000.0,282441.0,坡道平面,27.27,2400000.0,,RPVNMLOJLHIGFBA57CB,首岳,B棟B8-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,9.59,商,,,1120225.0,土地40建物1車位1,二十一層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,152.02,2.0,2.0,2.0,有,無,37160000.0,277836.0,坡道平面,27.27,2500000.0,,RPWNMLOJLHIGFBA67CB,首岳,B棟B11-21F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
