鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路64巷9號旁,102.33,住,Unnamed: 5,Unnamed: 6,1120511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,204.6,4,2,5,有,無,12200000,59629,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCP68CB,寬庭恆美,A棟15號,Unnamed: 30,來源資料夾,斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),163.82,1,12460000,86393,坡道平面,35.8,1400000,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,古坑鄉,雲林縣古坑鄉廣濟路,132.99,Unnamed: 4,鄉村區,乙種建築用地,1121111,土地4建物1車位0,171.18,4.1,10350000,60463,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLKJIIGFAP18DB,荷翠,D棟5號
斗六市,房地(土地+建物)+車位,雲林縣斗六市樂利街,50.56,住,,,1120211.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.4,2.0,1.0,2.0,有,無,11080000.0,89193.0,一樓平面,23.75,1300000.0,,RPQNMLLJLHIGFAP18CB,聖德淳風五期,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,154.78,,鄉村區,乙種建築用地,1120214.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,190.67,5.0,2.0,4.0,有,無,11400000.0,59789.0,,0.0,0.0,,RPTNMLLJLHIGFFP98CB,明成國泰,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,138.83,,鄉村區,乙種建築用地,1120215.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,180.45,5.0,2.0,4.0,有,無,9700000.0,53755.0,,0.0,0.0,,RPUNMLLJLHIGFFP09CB,明成國泰,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,168.48,,鄉村區,乙種建築用地,1120226.0,土地6建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,174.74,5.0,2.0,3.0,有,無,10420000.0,59631.0,,0.0,0.0,,RPVNMLLJLHIGFFP56CB,明成國泰,B棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物),雲林縣斗六市北祥街,34.25,住,,,1120223.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.55,2.0,2.0,1.0,有,無,7830000.0,80267.0,,0.0,0.0,,RPQNMLLJLHIGFAP28DB,國禾青田,D3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,21.46,住,,,1120220.0,土地1建物1車位1,十層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.63,2.0,2.0,2.0,有,無,9520000.0,82447.0,坡道平面,24.93,1300000.0,,RPPNMLMJLHIGFAP18CB,勝麗進行曲-禧悅區,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,132.33,,鄉村區,乙種建築用地,1120301.0,土地5建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,170.96,5.0,2.0,3.0,有,無,9600000.0,56153.0,,0.0,0.0,,RPPNMLNJLHIGFFP78CB,明成國泰,B棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,138.13,,鄉村區,乙種建築用地,1120302.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,174.74,5.0,2.0,4.0,有,無,9880000.0,56541.0,,0.0,0.0,,RPQNMLNJLHIGFFP88CB,明成國泰,B棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,110.01,,鄉村區,乙種建築用地,1120225.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,154.21,4.0,2.0,4.0,有,無,7800000.0,50580.0,,0.0,0.0,,RPPNMLNJLHIGFCP48CB,青砌一期,C5棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,101.62,,鄉村區,乙種建築用地,1120226.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,180.0,4.0,2.0,4.0,有,無,8750000.0,48611.0,,0.0,0.0,,RPQNMLNJLHIGFCP58CB,青砌一期,A1棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
