鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
左營區,房地(土地+建物),高雄市左營區左屏段2地號,7.57,住,,,1110824,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.17,2,1,1,有,無,6880000,99465.0,,0.0,0,,RPRNMLOLQHHGFEE48CB,諾金,A1棟13號,109_01
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.81,商,,,1110818,土地34建物1車位0,十二層,37,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,67.62,2,2,1,有,無,8260000,122153.0,,0.0,0,,RPPNMLOLQHHGFAE87CB,港灣1號院,B棟16-12F號,109_01
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路及大成街交叉路口,4.18,商,,,1110818,土地34建物1車位1,三層,37,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,114.97,3,2,2,有,無,16060000,142629.0,坡道平面,14.99,1800000,本戶有露臺含陽台投影，面積約為6.05坪,RPQNMLOLQHHGFAE97CB,港灣1號院,B棟11-03F號,109_01
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.18,商,,,1110817,土地34建物1車位0,十五層,37,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.27,2,2,1,有,無,10350000,135702.0,,0.0,0,,RPRNMLOLQHHGFAE08CB,港灣1號院,A棟11-15F號,109_01
新興區,房地(土地+建物)+車位,高雄市新興區中山一路與民生一路交叉口,7.18,商,,,1110822,土地36建物1車位1,十四層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,160.42,3,1,2,有,無,16560000,107741.0,坡道平面,20.64,1500000,,RPPNMLPLQHHGFBE18DB,民生1號院,A棟1號,109_01
茄萣區,房地(土地+建物)+車位,高雄市茄萣區文化路86巷,12.74,商,,,1110820,土地2建物1車位1,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,72.46,2,1,1,有,無,5230000,75262.0,升降機械,12.27,700000,,RPPNMLPLQHHGFJE88CB,藍天白雲,7F-A2號,109_01
茄萣區,房地(土地+建物)+車位,高雄市茄萣區文化路86巷,15.02,商,,,1110819,土地2建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,78.82,2,2,2,有,無,5180000,67318.0,升降機械,12.27,700000,,RPQNMLPLQHHGFJE98CB,藍天白雲,4F-A3號,109_01
旗山區,房地(土地+建物)+車位,高雄市旗山區旗甲一路和文中路交接,46.95,住,,,1110825,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.88,3,2,2,有,無,7100000,56403.0,一樓平面,8.04,0,,RPPNMLPLQHHGFHE68CB,皇家大苑11期,E棟1號,109_01
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正一路,8.81,商,,,1110821,土地1建物1車位1,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.79,2,1,2,有,無,12750000,103760.0,坡道機械,33.33,1600000,,RPPNMLQLQHHGFBE28DB,中正O8,A棟7號,109_01
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正一路,11.06,商,,,1110824,土地1建物1車位1,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.85,3,1,2,有,無,16770000,105469.0,坡道平面,41.55,2500000,,RPQNMLQLQHHGFBE38DB,中正O8,A棟2號,109_01
