鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮豐年路１３３巷１８弄２１號,122.44,,,,1110509,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,970602.0,258.49,6,2,4,有,有,16500000,63832.0,,0.0,0,,RPSNMLKMNHHGFAG77DA,235.81,22.68,0.0,無,,111_02
冬山鄉,土地,鹿得二段1080地號,1260.15,,特定農業區,農牧用地,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,3174.0,,0.0,0,,RPPPMLKKNHHGFAG47DA,0.0,0.0,0.0,無,,111_02
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮博愛路１００巷５９號,19.51,商,,,1110504,土地3建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870522.0,122.94,3,2,2,有,有,7000000,56938.0,,0.0,0,陽台外推；,RPUOMLTJNHHGFAG68DA,82.36,0.0,9.55,有,19.0,111_02
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段１５５號六樓之７,12.76,,特定農業區,甲種建築用地,1110501,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850216.0,50.97,1,1,1,有,有,2700000,52972.0,,0.0,0,夾層增建約7坪夾層；,RPPOMLNJNHHGFAG57DA,23.2,0.0,3.29,有,,111_02
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮羅莊街４９８號四樓之２,18.5,住,,,1110507,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830902.0,66.85000000000001,2,2,1,有,有,3980000,59536.0,,0.0,0,,RPPNMLRLNHHGFAG08DA,55.47,0.0,2.3,有,20.0,111_02
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正路５７３號十一樓,3.97,住,,,1110501,土地1建物1車位0,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850827.0,48.71,1,1,1,有,有,3480000,71443.0,,0.0,0,陽台外推；,RPOPMLRLNHHGFAG18DA,33.12,4.72,0.0,有,21.0,111_02
五結鄉,房地(土地+建物),宜蘭縣五結鄉成功路２巷２弄３６號二樓之２,20.79,,工業區,丁種建築用地,1110509,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110113.0,73.46,2,2,1,有,有,4100000,55813.0,,0.0,0,,RPPOMLRLNHHGFAG18DA,48.62,0.0,3.86,有,,111_02
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮新馬路６巷２６號,63.4,住,,,1110515,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,660707.0,82.8,3,2,3,有,無,3250000,39251.0,,0.0,0,一樓空地增建頂樓加蓋；其他增建；,RPTOMLLMNHHGFAG08DA,82.8,0.0,0.0,無,,111_02
礁溪鄉,土地,玉田段626地號,1435.0,,特定農業區,農牧用地,1110501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5210000,3631.0,,0.0,0,,RPPOMLKMNHHGFBG67DA,0.0,0.0,0.0,無,22.0,111_02
員山鄉,房地(土地+建物),宜蘭縣員山鄉惠民路２４５巷６號,79.11,,鄉村區,乙種建築用地,1110508,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070213.0,181.88,4,2,4,有,無,11000000,60479.0,,0.0,0,一樓廁所內擴四樓採光罩其他增建；,RPOPMLRLNHHGFBG28DA,177.02,4.86,0.0,無,23.0,111_02
