鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,35.71,,特定農業區,甲種建築用地,1130719,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.79,3,2,2,有,無,13940000,105078,坡道平面,26.45,1400000,,RPQNMLTJQHJGFBQ17CB,幸福168,11A3號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,35.71,,特定農業區,甲種建築用地,1130720,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.79,3,2,2,有,無,13730000,102061,坡道平面,26.45,1550000,,RPRNMLTJQHJGFBQ27CB,幸福168,5A3號,,113_03
新港鄉,房地(土地+建物),嘉義縣新港鄉古民街,111.58,住,,,1130711,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,188.98,5,2,4,有,無,13300000,70378,,0.0,0,,RPPNMLTJQHJGFCQ17CB,新港上城,B棟B5號,,113_03
新港鄉,房地(土地+建物),嘉義縣新港鄉古民街,120.25,住,,,1130711,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,188.98,6,2,4,有,無,13580000,71859,,0.0,0,,RPQNMLTJQHJGFCQ27CB,新港上城,B棟B2號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,25.78,,特定農業區,甲種建築用地,1130728,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.57,2,2,2,有,無,9500000,95797,坡道平面,26.45,1250000,,RPPNMLMKQHJGFBQ09CB,幸福168,7B1號,,113_03
中埔鄉,房地(土地+建物)+車位,嘉義縣中埔鄉後庄17巷,40.29,住,,,1130809,土地3建物1車位1,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,128.72,3,2,2,有,無,9150000,75181,一樓平面,22.31,1150000,,RPPNMLMKQHJGFDQ66CB,天晴19,A棟5A1號,,113_03
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,118.37,,鄉村區,乙種建築用地,1130804,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,173.42,4,3,4,有,無,10500000,60547,,0.0,0,,RPPNMLNKQHJGFCQ66CB,新社團三期,A棟11號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,38.63,住,,,1130720,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.66,3,1,2,有,無,10210000,74452,坡道平面,33.3,1100000,,RPQNMLNKQHJGFCQ76CB,寶格?星,8B1棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,33.8,住,,,1130730,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.05,2,1,2,有,無,8960000,73630,一樓平面,33.3,1100000,,RPRNMLNKQHJGFCQ86CB,寶格?星,7A6棟0號,,113_03
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村庄內,129.83,,鄉村區,乙種建築用地,1130717,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,145.53,3,2,3,有,無,12450000,85549,,0.0,0,,RPPNMLNKQHJGFDQ76CB,觀武意墅No.13,C2棟0號,,113_03
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村庄內,131.98,,鄉村區,乙種建築用地,1130717,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.84,4,2,3,有,無,14100000,89901,,0.0,0,,RPQNMLNKQHJGFDQ86CB,觀武意墅No.13,A3棟0號,,113_03
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉嘉166縣道,28.97,住,,,1130728,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.98,2,1,2,有,無,7940000,73517,一樓平面,33.3,1200000,,RPPNMLOKQHJGFCQ76CB,寶格?星,5A2棟0號,,113_03
