鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
社頭鄉,房地(土地+建物),彰化縣社頭鄉新雅段,94.72,,鄉村區,乙種建築用地,1121124,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,172.91,5,2,3,有,無,12700000,73449,,0.0,0,,RPPNMLKMJIIGFEN38CB,慧來新雅,A6號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街VS樂群街,15.95,住,,,1121122,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,74.65,2,2,2,有,無,4900000,65640,,0.0,0,,RPPNMLKMJIIGFGN58CB,左岸玫瑰-2,A棟4號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街VS樂群街,14.86,住,,,1121123,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.51,2,2,2,有,無,4800000,69055,,0.0,0,,RPQNMLKMJIIGFGN68CB,左岸玫瑰-2,C棟5號,,113_01
彰化市,房地(土地+建物)+車位,彰化縣彰化市瑞陽街與埔陽街53巷路口,17.9,住,,,1121116,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.56,2,2,1,有,無,9850000,102833,坡道機械,15.72,920000,,RPPNMLLJKIIGFAN87CB,中山富域,B棟5號,,113_01
彰化市,房地(土地+建物)+車位,彰化縣彰化市永安街418號旁,33.13,住,,,1121201,土地3建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.06,3,2,2,有,無,22090000,135213,坡道平面,32.0,1800000,,RPRNMLLJKIIGFAN08CB,君品大謙,C棟12號,,113_01
花壇鄉,房地(土地+建物),彰化縣花壇鄉金墩街,66.79,,特定農業區,甲種建築用地,1121119,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,166.3,4,3,3,有,無,14500000,87192,,0.0,0,,RPSNMLLJKIIGFAN18CB,郡里仁,A棟10號,,113_01
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮打鐵巷,85.74,,特定農業區,甲種建築用地,1121119,土地5建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,133.52,4,3,3,有,無,11900000,89125,,0.0,0,,RPQNMLLJKIIGFCN18CB,英倫莊園,C棟5號,,113_01
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮打鐵巷,97.74,,特定農業區,甲種建築用地,1121119,土地5建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,147.69,4,3,3,有,無,13600000,92085,,0.0,0,,RPRNMLLJKIIGFCN28CB,英倫莊園,C棟12號,,113_01
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮打鐵巷,149.42,,特定農業區,甲種建築用地,1121121,土地8建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,235.39,4,3,3,有,無,24200000,102808,,0.0,0,,RPSNMLLJKIIGFCN38CB,英倫莊園,A棟6號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮四維街,78.66,住,,,1121129,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,162.33,4,2,5,有,無,11500000,70843,,0.0,0,,RPPNMLLJKIIGFGN48CB,龍旺中科7,A棟12號,,113_01
