鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
屏東市,房地(土地+建物),屏東縣屏東市和生路一段,24.27,,鄉村區,乙種建築用地,1130630,土地2建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.57,2,2,1,有,無,7570000,91680.0,,0.0,0,,RPTNMLSJPHJGFAT47CB,中洲One Park,A棟2號,,113_03
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,20.73,,鄉村區,乙種建築用地,1130624,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.36,1,1,2,有,無,7880000,81635.0,坡道平面,15.92,1150000,,RPUNMLSJPHJGFAT57CB,幸福欣印象-豐收區,F1棟7號,,113_03
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,28.53,,鄉村區,乙種建築用地,1130622,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.46,2,1,2,有,無,9260000,71164.0,一樓平面,15.92,1180000,,RPVNMLSJPHJGFAT67CB,幸福欣印象-豐收區,A3棟5號,,113_03
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,25.02,,鄉村區,乙種建築用地,1130624,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.4,2,1,2,有,無,8440000,72979.0,一樓平面,15.92,1180000,,RPWNMLSJPHJGFAT77CB,幸福欣印象-豐收區,A1棟6號,,113_03
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,25.15,,鄉村區,乙種建築用地,1130622,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.93,2,1,2,有,無,8690000,75592.0,坡道平面,15.92,1130000,,RPXNMLSJPHJGFAT87CB,幸福欣印象-豐收區,F6棟6號,,113_03
枋寮鄉,房地(土地+建物),屏東縣枋寮鄉安樂路,25.72,住,,,1130623,土地4建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.05,2,2,2,有,無,4170000,59529.0,,0.0,0,,RPPNMLSJPHJGFFT57CB,中寮段,C棟1號,,113_03
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮明禮路,52.27,住,,,1130707,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,155.85,3,2,2,有,無,13560000,87007.0,一樓平面,15.2,0,,RPPNMLSJPHJGFDT47DB,青品澤,A1棟3樓號,,113_03
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮明禮路,39.61,住,,,1130708,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,121.81,2,2,3,有,無,11530000,94656.0,一樓平面,15.2,0,,RPQNMLSJPHJGFDT57DB,青品澤,B1棟3樓號,,113_03
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮明禮路,39.61,住,,,1130708,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,121.81,2,2,3,有,無,11650000,95641.0,一樓平面,15.2,0,,RPRNMLSJPHJGFDT67DB,青品澤,B1棟4樓號,,113_03
屏東市,房地(土地+建物),屏東縣屏東市幸福街5號５樓之７,25.55,,鄉村區,乙種建築用地,1130622,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.59,2,2,2,有,無,5580000,74809.0,,0.0,0,,RPPNMLLKPHJGFAT09CB,景湛,Ｂ棟７號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市幸福街5號４樓之２,32.12,,鄉村區,乙種建築用地,1130615,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.51,3,2,2,有,無,7380000,65913.0,一樓平面,13.75,1200000,,RPQNMLLKPHJGFAT56CB,景湛,Ｂ棟2號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,22.48,,鄉村區,乙種建築用地,1130709,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.58,3,2,2,有,無,8200000,81339.0,坡道平面,13.75,1300000,,RPSNMLLKPHJGFAT76CB,屏東印象,A5棟4樓號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,27.1,,鄉村區,乙種建築用地,1130707,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.03,3,2,2,有,無,9700000,82127.0,坡道平面,13.75,1300000,,RPTNMLLKPHJGFAT86CB,屏東印象,D1棟5樓號,,113_03
潮州鎮,房地(土地+建物),屏東縣潮州鎮朝昇東路,98.57,住,,,1130628,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,216.32,4,2,5,有,無,20000000,92456.0,,0.0,0,,RPPNMLLKPHJGFCT66CB,維也納2.0,A棟3號,,113_03
潮州鎮,房地(土地+建物),屏東縣潮州鎮長壽街,91.92,住,,,1130626,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,204.58,6,2,5,有,無,17700000,86519.0,,0.0,0,,RPQNMLLKPHJGFCT76CB,維也納2.0,B棟3號,,113_03
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路1巷,44.34,住,,,1130621,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.12,3,2,2,有,無,9930000,76246.0,一樓平面,3.59,1350000,,RPPNMLMKPHJGFAT56CB,屏蒔,B棟3號,,113_03
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路1巷,33.93,住,,,1130624,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.02,2,2,2,有,無,8340000,81166.0,一樓平面,9.9,1350000,,RPQNMLMKPHJGFAT66CB,屏蒔,B棟1號,,113_03
長治鄉,房地(土地+建物),屏東縣長治鄉香楊路1巷,36.15,住,,,1130630,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.74,2,2,2,有,無,7050000,76848.0,,0.0,0,,RPRNMLMKPHJGFAT76CB,屏蒔,A棟1號,,113_03
潮州鎮,房地(土地+建物),屏東縣潮州鎮長壽街,92.01,住,,,1130707,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,204.58,6,2,5,有,無,17700000,86519.0,,0.0,0,,RPPNMLMKPHJGFCT76CB,維也納2.0,B棟2號,,113_03
東港鎮,房地(土地+建物),屏東縣東港鎮延平路,16.28,商,,,1130627,土地2建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,70.25,2,2,2,有,無,5880000,83701.0,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLMKPHJGFDT86CB,東港ONE,B2棟2樓號,,113_03
東港鎮,房地(土地+建物),屏東縣東港鎮延平路,22.9,商,,,1130708,土地2建物1車位0,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,98.62,3,2,2,有,無,7500000,76049.0,,0.0,0,,RPQNMLMKPHJGFDT96CB,東港ONE,C1棟3樓號,,113_03
東港鎮,房地(土地+建物),屏東縣東港鎮延平路,16.5,商,,,1130702,土地2建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,71.38,2,2,2,有,無,5480000,76772.0,,0.0,0,,RPRNMLMKPHJGFDT07CB,東港ONE,B1棟5樓號,,113_03
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮富漁三路,21.04,住,,,1130708,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.21,2,2,2,有,無,8260000,83461.0,坡道平面,22.02,1150000,,RPPNMLNKPHJGFDT96CB,東津灣,A5棟2號,,113_03
