鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,32.75,住,,,1130317,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.91,3,1,2,有,無,12170000,75613.0,坡道平面,19.83,1200000,,RPSNMLLKMHJGFDP98CB,禾楓君悅-農博綻,A棟7號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,24.43,住,,,1130323,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.48,2,1,1,有,無,9560000,78588.0,坡道平面,19.83,1100000,,RPTNMLLKMHJGFDP09CB,禾楓君悅-農博綻,A棟特號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮科園路及虎興西三街交叉路口,45.26,住,,,1130317,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.77,2,1,1,有,無,6910000,68141.0,一樓平面,11.57,900000,,RPUNMLLKMHJGFDP56CB,禾楓君悅-高鐵綻7期,B棟B1號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮科園路及虎興西三街交叉路口,45.8,住,,,1130321,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.55,2,1,1,有,無,7050000,69117.0,一樓平面,11.57,900000,,RPVNMLLKMHJGFDP66CB,禾楓君悅-高鐵綻7期,B棟B9號,,113_02
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮新學六路,22.61,住,,,1130316,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.83,2,1,1,有,無,5530000,57186.0,坡道平面,22.74,950000,,RPPNMLLKMHJGFEP78CB,禾楓君悅-北港綻,A棟A1號,,113_02
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮新學六路,22.61,住,,,1130317,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.83,2,1,1,有,無,5530000,57186.0,坡道平面,22.74,950000,,RPQNMLLKMHJGFEP88CB,禾楓君悅-北港綻,A棟A1號,,113_02
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮新學六路,25.53,住,,,1130318,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.69,2,2,1,有,無,6390000,60478.0,坡道平面,22.74,950000,,RPRNMLLKMHJGFEP98CB,禾楓君悅-北港綻,B棟B2號,,113_02
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉中山路97巷,87.41,住,,,1130314,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,174.51,4,2,5,有,無,11800000,67618.0,,0.0,0,,RPPNMLLKMHJGFFP98DB,樂居邁遼,B2棟0號,,113_02
斗六市,房地(土地+建物),雲林縣斗六市石榴路369巷119弄,84.36,,一般農業區,甲種建築用地,1130411,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.35,4,2,3,有,無,11500000,72168.0,,0.0,0,,RPPNMLMKMHJGFAP48CB,築澤臻美,B棟18號,,113_02
斗六市,房地(土地+建物),雲林縣斗六市斗六一路、棒球三街口,25.27,住,,,1130316,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.42,2,1,2,有,無,8550000,85999.0,,0.0,0,,RPQNMLMKMHJGFAP58CB,聖德淳風三期,A2號,,113_02
