鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 G棟/2樓,33.99,住,,,1040412,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,6500000,59743,,0.0,0,,RPUOMLTKKHLFFCC68DB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號 G棟/5樓,34.19,住,,,1040530,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,8000000,92234,坡道平面,33.99,1100000,,RPWOMLTKKHLFFCC88DB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區長安段38地號 G棟/7樓,34.19,住,,,1040611,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,7760000,84518,坡道平面,30.0,1100000,,RPXOMLTKKHLFFCC98DB,105_02
七堵區,房地(土地+建物),基隆市七堵區長安段38地號 H棟/4樓,38.78,住,,,1040726,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.98,3,2,2,有,無,6880000,55944,,0.0,0,,RPOPMLTKKHLFFCC18DB,105_02
七堵區,房地(土地+建物),基隆市七堵區五堵段五堵北小段１１２９等３筆地號B２-７F,28.87,住,,,1030623,土地1建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.83,3,2,1,有,無,8160000,75675,,0.0,0,,RPSNMLQLMHLFFCC28CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A３-１F,30.18,商,,,1030629,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,127.86,0,1,1,有,無,12580000,121893,坡道平面,35.73,1350000,,RPTNMLQLMHLFFCC38CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A２-９F,34.12,住,,,1030629,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.12,3,2,1,有,無,11100000,76537,坡道平面,35.73,1350000,,RPUNMLQLMHLFFCC48CB,105_02
七堵區,房地(土地+建物),基隆市七堵區五堵段五堵北小段１１２９等３筆地號B２-５F,28.87,住,,,1030629,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.83,3,2,1,有,無,7500000,69554,,0.0,0,,RPVNMLQLMHLFFCC58CB,105_02
七堵區,房地(土地+建物),基隆市七堵區五堵段五堵北小段１１２９等３筆地號B１-９F,28.87,住,,,1030629,土地1建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.55,3,2,1,有,無,8000000,74384,,0.0,0,,RPWNMLQLMHLFFCC68CB,105_02
七堵區,房地(土地+建物),基隆市七堵區五堵段五堵北小段１１２９等３筆地號B２-９F,28.87,住,,,1030724,土地1建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.83,3,2,1,有,無,8000000,74191,,0.0,0,,RPXNMLQLMHLFFCC78CB,105_02
七堵區,房地(土地+建物),基隆市七堵區五堵段五堵北小段１１２９等３筆地號A１-８F,34.55,住,,,1030728,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.66,3,2,1,有,無,9730000,75626,,0.0,0,,RPOOMLQLMHLFFCC97CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A２-８F,34.12,住,,,1030730,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.12,3,2,1,有,無,10990000,75673,坡道平面,35.73,1350000,,RPPOMLQLMHLFFCC08CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A２-１１F,34.12,住,,,1030801,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.12,3,2,1,有,無,11050000,76144,坡道平面,35.73,1350000,,RPQOMLQLMHLFFCC18CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A２-１２F,34.12,住,,,1030802,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.12,3,2,1,有,無,11200000,77322,坡道平面,35.73,1350000,,RPSOMLQLMHLFFCC38CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A２-１３F,34.12,住,,,1030831,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.12,3,2,1,有,無,11350000,78499,坡道平面,35.73,1350000,,RPTOMLQLMHLFFCC48CB,105_02
七堵區,房地(土地+建物)+車位,基隆市七堵區五堵段五堵北小段１１２９等３筆地號A１-１３F,34.55,住,,,1030902,土地1建物1車位1,十三層,13,其他,住家用,鋼筋混凝土造,,159.39,3,2,1,有,無,11250000,77724,坡道平面,30.73,1250000,,RPUOMLQLMHLFFCC58CB,105_02
