鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
花蓮市,房地(土地+建物),花蓮縣花蓮巿建國路二段798號,164.49,住,,,1041231,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1031015.0,390.56,4,3,5,有,無,22000000,56329.0,,0.0,0,,RPRNMLPLLHLFFAU86CA,369.71,0.0,20.85,,,105_02
壽豐鄉,土地,豐東段318地號,84.19,,一般農業區,甲種建築用地,1050301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,8315.0,,0.0,0,含增建或未登記建物。,RPQOMLPLLHLFFAU86CA,0.0,0.0,0.0,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕六街２６號四樓之五,8.63,住,,,1050303,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,810523.0,29.84,1,0,1,有,無,775000,25972.0,,0.0,0,,RPOOMLLJMHLFFAU78CA,23.07,0.0,3.4,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路６４５巷４２弄５號,134.0,,特定農業區,甲種建築用地,1050227,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,920516.0,274.54,4,2,4,有,無,10000000,36425.0,,0.0,0,,RPQOMLLJMHLFFAU98CA,246.84,0.0,27.7,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉永華二街３２巷２６號,876.9,,特定農業區,農牧用地,1030728,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1050107.0,245.29,5,2,6,有,無,5000000,,,0.0,0,農舍配蓋買賣價金不含建物,RPQOMLKMLHLFFAU09CA,237.53,0.0,7.76,,,105_02
富里鄉,土地,大里段2622地號,1370.0,,山坡地保育區,農牧用地,1050308,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,365.0,,0.0,0,,RPRNMLMLLHLFFCU76CA,0.0,0.0,0.0,,,105_02
玉里鎮,土地,民南段952地號,384.59,,山坡地保育區,丙種建築用地,1050115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2307,6.0,,0.0,0,,RPPNMLQKLHLFFCU07EA,0.0,0.0,0.0,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿中原路625號,122.0,住,,,1050226,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030808.0,284.97,4,2,5,有,無,19500000,68428.0,,0.0,0,,RPTNMLRKLHLFFAU27DA,270.28,0.0,14.69,,,105_02
花蓮市,房地(土地+建物),花蓮縣花蓮巿博愛街56號三樓之2,21.33,商,,,1050225,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,831006.0,167.91,3,2,2,有,無,6800000,40498.0,,0.0,0,,RPXNMLMLLHLFFAU27DA,114.11,2.82,4.29,,,105_02
吉安鄉,房地(土地+建物),花蓮縣吉安鄉干城二街８３號,109.06,,一般農業區,甲種建築用地,1050122,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,711021.0,106.68,2,2,2,有,無,4600000,43120.0,,0.0,0,,RPUNMLRKLHLFFAU47EA,106.68,0.0,0.0,,,105_02
